Timestamp;Entity Name;CO2 (ppm);NH3 (ppm);ambient_light (lux);ambient_noise (dB);humidity (%);temperature (°C)
2022-01-15 08:47:31;Phytobiotics-RTH1;5009;2;30;75;41;30.74
2022-01-15 08:52:40;Phytobiotics-RTH1;4918;2;30;52;40;31.21
2022-01-15 08:57:50;Phytobiotics-RTH1;4760;2;30;43;39;31.54
2022-01-15 09:02:59;Phytobiotics-RTH1;4770;2;30;75;38;31.79
2022-01-15 09:08:08;Phytobiotics-RTH1;3934;2;30;66;37;31.59
2022-01-15 09:13:18;Phytobiotics-RTH1;4304;2;30;58;36;31.38
2022-01-15 09:18:28;Phytobiotics-RTH1;3903;2;30;71;38;30.92
2022-01-15 09:23:38;Phytobiotics-RTH1;4134;2;30;61;37;30.56
2022-01-15 09:28:47;Phytobiotics-RTH1;3924;2;30;59;36;30.26
2022-01-15 09:33:56;Phytobiotics-RTH1;3730;2;30;44;37;30.08
2022-01-15 09:39:05;Phytobiotics-RTH1;3647;2;30;69;37;30
2022-01-15 09:49:52;Phytobiotics-RTH1;3549;2;30;52;37;30.03
2022-01-15 09:55:01;Phytobiotics-RTH1;3567;2;30;44;37;29.97
2022-01-15 10:00:11;Phytobiotics-RTH1;3442;2;30;65;38;29.95
2022-01-15 10:05:20;Phytobiotics-RTH1;3494;2;30;49;37;30.28
2022-01-15 10:10:30;Phytobiotics-RTH1;3430;2;30;59;37;30.21
2022-01-15 10:15:39;Phytobiotics-RTH1;3380;2;30;48;37;30.05
2022-01-15 10:20:48;Phytobiotics-RTH1;3497;2;30;44;38;29.92
2022-01-15 10:25:57;Phytobiotics-RTH1;3468;2;30;68;36;29.87
2022-01-15 10:31:06;Phytobiotics-RTH1;3336;2;30;67;37;30.26
2022-01-15 10:36:15;Phytobiotics-RTH1;3269;2;30;72;36;30.31
2022-01-15 10:41:25;Phytobiotics-RTH1;3360;2;30;53;40;30.1
2022-01-15 10:46:34;Phytobiotics-RTH1;3336;2;30;59;37;29.92
2022-01-15 10:51:43;Phytobiotics-RTH1;3305;2;30;68;37;29.92
2022-01-15 10:56:53;Phytobiotics-RTH1;3277;2;30;81;40;30.13
2022-01-15 11:02:03;Phytobiotics-RTH1;3393;2;30;57;38;29.97
2022-01-15 11:12:29;Phytobiotics-RTH1;3272;2;30;72;40;30.13
2022-01-15 11:17:38;Phytobiotics-RTH1;3065;2;30;63;40;29.97
2022-01-15 11:22:49;Phytobiotics-RTH1;3308;2;30;50;40;30.26
2022-01-15 11:27:58;Phytobiotics-RTH1;3378;2;30;44;40;30.23
2022-01-15 11:33:08;Phytobiotics-RTH1;3197;2;30;84;38;30.15
2022-01-15 11:38:18;Phytobiotics-RTH1;3158;2;30;71;40;30.21
2022-01-15 11:43:29;Phytobiotics-RTH1;3308;2;30;71;40;30.08
2022-01-15 11:48:39;Phytobiotics-RTH1;3323;2;30;65;39;30.23
2022-01-15 11:53:48;Phytobiotics-RTH1;3354;2;30;61;38;30.13
2022-01-15 11:58:58;Phytobiotics-RTH1;3313;2;30;62;38;30.15
2022-01-15 12:04:07;Phytobiotics-RTH1;3121;2;30;71;37;30.18
2022-01-15 12:09:17;Phytobiotics-RTH1;2958;2;30;72;40;30.23
2022-01-15 12:14:26;Phytobiotics-RTH1;3031;2;30;71;39;30.1
2022-01-15 12:19:36;Phytobiotics-RTH1;3005;2;30;57;37;30.1
2022-01-15 12:24:45;Phytobiotics-RTH1;3065;2;30;65;37;30.23
2022-01-15 12:29:55;Phytobiotics-RTH1;2997;2;30;66;39;30.15
2022-01-15 12:35:04;Phytobiotics-RTH1;2676;2;30;72;37;30.15
2022-01-15 12:40:13;Phytobiotics-RTH1;2808;2;30;70;38;30.1
2022-01-15 12:45:22;Phytobiotics-RTH1;2842;2;30;68;38;29.97
2022-01-15 12:50:32;Phytobiotics-RTH1;2728;2;30;51;37;29.97
2022-01-15 12:55:41;Phytobiotics-RTH1;2767;2;30;59;37;29.92
2022-01-15 13:00:53;Phytobiotics-RTH1;2767;2;30;72;36;30.23
2022-01-15 13:32:56;Phytobiotics-RTH1;2529;2;30;57;36;30.26
2022-01-15 13:52:57;Phytobiotics-RTH1;2575;2;30;72;40;30.28
2022-01-15 13:58:06;Phytobiotics-RTH1;2529;2;30;71;38;29.95
2022-01-15 14:03:16;Phytobiotics-RTH1;2521;2;30;72;38;29.9
2022-01-15 14:20:44;Phytobiotics-RTH1;2676;2;30;85;38;29.9
2022-01-15 14:25:53;Phytobiotics-RTH1;2516;2;30;72;38;30.03
2022-01-15 14:31:03;Phytobiotics-RTH1;2617;2;30;68;37;29.97
2022-01-15 14:36:12;Phytobiotics-RTH1;2542;2;30;71;38;29.9
2022-01-15 14:41:22;Phytobiotics-RTH1;2513;2;30;62;37;29.97
2022-01-15 14:46:31;Phytobiotics-RTH1;2467;2;30;71;37;30.1
2022-01-15 14:51:40;Phytobiotics-RTH1;2521;2;30;67;37;30.18
2022-01-15 14:56:50;Phytobiotics-RTH1;2441;2;30;80;39;29.85
2022-01-15 15:01:59;Phytobiotics-RTH1;2518;2;30;73;39;29.77
2022-01-15 15:50:30;Phytobiotics-RTH1;2630;2;30;69;38;29.82
2022-01-15 15:55:44;Phytobiotics-RTH1;2612;2;30;75;38;29.74
2022-01-15 16:00:53;Phytobiotics-RTH1;2630;2;30;75;39;29.87
2022-01-15 16:06:02;Phytobiotics-RTH1;2630;2;30;71;38;29.79
2022-01-15 16:16:31;Phytobiotics-RTH1;2562;2;30;71;38;29.64
2022-01-15 16:21:41;Phytobiotics-RTH1;2583;2;30;71;38;29.82
2022-01-15 16:26:50;Phytobiotics-RTH1;2663;2;30;65;37;29.69
2022-01-15 16:31:59;Phytobiotics-RTH1;2606;2;30;63;37;29.64
2022-01-15 16:44:44;Phytobiotics-RTH1;2591;2;30;71;37;29.69
2022-01-15 16:49:53;Phytobiotics-RTH1;2560;2;30;71;38;29.54
2022-01-15 16:55:03;Phytobiotics-RTH1;2648;2;30;71;38;29.74
2022-01-15 17:00:12;Phytobiotics-RTH1;2697;2;30;68;38;29.69
2022-01-15 17:05:23;Phytobiotics-RTH1;2601;2;30;74;38;29.54
2022-01-15 17:10:33;Phytobiotics-RTH1;2612;2;30;72;38;29.77
2022-01-15 17:15:42;Phytobiotics-RTH1;2622;2;30;72;38;29.67
2022-01-15 17:20:51;Phytobiotics-RTH1;2710;2;30;65;38;29.67
2022-01-15 17:26:00;Phytobiotics-RTH1;2710;2;30;71;38;29.95
2022-01-15 17:38:33;Phytobiotics-RTH1;2896;2;30;68;39;29.72
2022-01-15 17:43:43;Phytobiotics-RTH1;2974;2;30;75;39;29.64
2022-01-15 17:48:52;Phytobiotics-RTH1;2845;2;30;71;39;29.87
2022-01-15 17:54:01;Phytobiotics-RTH1;2847;2;30;66;38;29.77
2022-01-15 17:59:11;Phytobiotics-RTH1;2718;2;30;75;39;29.72
2022-01-15 18:04:21;Phytobiotics-RTH1;2738;2;30;71;39;29.87
2022-01-15 18:09:30;Phytobiotics-RTH1;2842;2;30;71;38;29.87
2022-01-15 18:14:44;Phytobiotics-RTH1;2819;2;30;67;39;29.74
2022-01-15 18:19:53;Phytobiotics-RTH1;2782;2;30;56;39;29.67
2022-01-15 18:25:03;Phytobiotics-RTH1;2839;2;30;71;39;29.77
2022-01-15 18:30:12;Phytobiotics-RTH1;2886;2;30;72;39;29.67
2022-01-15 18:35:22;Phytobiotics-RTH1;2863;2;30;62;39;29.59
2022-01-15 18:40:31;Phytobiotics-RTH1;2762;2;30;72;39;29.72
2022-01-15 18:54:54;Phytobiotics-RTH1;2785;2;30;71;40;29.51
2022-01-15 19:00:04;Phytobiotics-RTH1;2876;2;30;68;39;29.69
2022-01-15 19:05:13;Phytobiotics-RTH1;2881;2;30;58;40;29.62
2022-01-15 19:10:38;Phytobiotics-RTH1;2813;2;30;67;40;29.64
2022-01-15 19:15:47;Phytobiotics-RTH1;2801;2;30;71;39;29.72
2022-01-15 19:20:57;Phytobiotics-RTH1;2744;2;30;71;40;29.82
2022-01-15 19:26:07;Phytobiotics-RTH1;2860;2;30;50;40;29.77
2022-01-15 19:31:16;Phytobiotics-RTH1;2767;2;30;68;40;29.67
2022-01-15 19:36:35;Phytobiotics-RTH1;2811;2;30;63;40;29.9
2022-01-15 19:41:46;Phytobiotics-RTH1;2865;2;30;50;40;29.85
2022-01-15 19:56:33;Phytobiotics-RTH1;2795;2;30;71;40;29.69
2022-01-15 20:28:35;Phytobiotics-RTH1;2813;2;30;82;39;29.59
2022-01-15 20:33:44;Phytobiotics-RTH1;2751;2;30;53;40;29.72
2022-01-15 20:38:54;Phytobiotics-RTH1;2816;2;30;48;39;29.54
2022-01-15 20:44:09;Phytobiotics-RTH1;2679;2;30;73;38;29.56
2022-01-15 20:49:20;Phytobiotics-RTH1;2723;2;30;54;39;29.59
2022-01-15 20:54:29;Phytobiotics-RTH1;2632;2;30;49;39;29.38
2022-01-15 20:59:39;Phytobiotics-RTH1;2495;2;30;71;38;29.23
2022-01-15 21:04:49;Phytobiotics-RTH1;2547;2;30;71;38;29.31
2022-01-15 21:09:58;Phytobiotics-RTH1;2503;2;30;77;38;29.18
2022-01-15 21:15:09;Phytobiotics-RTH1;2521;2;30;60;38;29.41
2022-01-15 21:20:18;Phytobiotics-RTH1;2464;2;30;67;37;29.08
2022-01-15 21:25:29;Phytobiotics-RTH1;2474;2;30;60;37;29.38
2022-01-15 21:30:42;Phytobiotics-RTH1;2474;2;30;46;39;29.51
2022-01-15 21:46:55;Phytobiotics-RTH1;2578;2;30;44;37;29.44
2022-01-15 21:52:08;Phytobiotics-RTH1;2485;2;30;44;37;29.33
2022-01-15 21:57:18;Phytobiotics-RTH1;2503;2;30;43;37;29.56
2022-01-15 22:02:28;Phytobiotics-RTH1;2529;2;30;43;40;29.41
2022-01-15 22:07:41;Phytobiotics-RTH1;2492;2;30;43;37;29.38
2022-01-15 22:34:56;Phytobiotics-RTH1;2555;2;30;52;38;29.26
2022-01-15 22:49:02;Phytobiotics-RTH1;2575;2;30;45;37;29.1
2022-01-15 22:54:23;Phytobiotics-RTH1;2464;2;30;75;37;29
2022-01-15 22:59:32;Phytobiotics-RTH1;2482;2;30;46;37;29.15
2022-01-15 23:04:42;Phytobiotics-RTH1;2451;2;30;50;38;28.95
2022-01-15 23:09:51;Phytobiotics-RTH1;2513;2;30;46;36;29.05
2022-01-15 23:15:00;Phytobiotics-RTH1;2454;2;30;55;37;29.1
2022-01-15 23:20:10;Phytobiotics-RTH1;2446;2;30;64;37;29.15
2022-01-15 23:25:19;Phytobiotics-RTH1;2555;2;30;49;37;29.31
2022-01-15 23:30:28;Phytobiotics-RTH1;2518;2;30;44;37;29.15
2022-01-15 23:41:00;Phytobiotics-RTH1;2637;2;30;52;38;29.36
2022-01-15 23:46:10;Phytobiotics-RTH1;2619;2;30;47;37;29.21
2022-01-15 23:51:19;Phytobiotics-RTH1;2604;2;30;43;37;29.49
2022-01-15 23:56:31;Phytobiotics-RTH1;2656;2;30;42;37;29.38
2022-01-16 00:01:40;Phytobiotics-RTH1;2601;2;30;49;37;29.28
2022-01-16 00:06:49;Phytobiotics-RTH1;2668;2;30;43;37;29.49
2022-01-16 00:11:58;Phytobiotics-RTH1;2754;2;30;96;37;29.51
2022-01-16 00:17:08;Phytobiotics-RTH1;2645;2;30;79;37;29.41
2022-01-16 00:22:17;Phytobiotics-RTH1;2702;2;30;73;36;29.54
2022-01-16 00:27:27;Phytobiotics-RTH1;2725;2;30;67;38;29.41
